dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_04_04, 162.30086817008424, -77.7199925938107, 1649030400000, null, 250, 2, 128, 947, null, 150, 0, 1]"
"[2022_04_05, 162.30086817008424, -77.7199925938107, 1649116800000, 86, null, 2, 128, 8562, null, 251, 5, 6]"
"[2022_04_06, 162.30086817008424, -77.7199925938107, 1649203200000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_04_07, 162.30086817008424, -77.7199925938107, 1649289600000, null, 211, 211, 211, null, null, 111, 4, 6]"
"[2022_04_08, 162.30086817008424, -77.7199925938107, 1649376000000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_04_09, 162.30086817008424, -77.7199925938107, 1649462400000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_04_10, 162.30086817008424, -77.7199925938107, 1649548800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_11, 162.30086817008424, -77.7199925938107, 1649635200000, null, 211, 211, 211, null, null, 111, 0, 0]"
"[2022_04_12, 162.30086817008424, -77.7199925938107, 1649721600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_13, 162.30086817008424, -77.7199925938107, 1649808000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_14, 162.30086817008424, -77.7199925938107, 1649894400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_15, 162.30086817008424, -77.7199925938107, 1649980800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_16, 162.30086817008424, -77.7199925938107, 1650067200000, null, null, null, null, null, null, null, null, null]"
"[2022_04_17, 162.30086817008424, -77.7199925938107, 1650153600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_18, 162.30086817008424, -77.7199925938107, 1650240000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_19, 162.30086817008424, -77.7199925938107, 1650326400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_20, 162.30086817008424, -77.7199925938107, 1650412800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_21, 162.30086817008424, -77.7199925938107, 1650499200000, null, null, null, null, null, null, null, null, null]"
"[2022_04_22, 162.30086817008424, -77.7199925938107, 1650585600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_23, 162.30086817008424, -77.7199925938107, 1650672000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_24, 162.30086817008424, -77.7199925938107, 1650758400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_25, 162.30086817008424, -77.7199925938107, 1650844800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_26, 162.30086817008424, -77.7199925938107, 1650931200000, null, null, null, null, null, null, null, null, null]"
"[2022_04_27, 162.30086817008424, -77.7199925938107, 1651017600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_28, 162.30086817008424, -77.7199925938107, 1651104000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_29, 162.30086817008424, -77.7199925938107, 1651190400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_30, 162.30086817008424, -77.7199925938107, 1651276800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_01, 162.30086817008424, -77.7199925938107, 1651363200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_02, 162.30086817008424, -77.7199925938107, 1651449600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_03, 162.30086817008424, -77.7199925938107, 1651536000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_04, 162.30086817008424, -77.7199925938107, 1651622400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_05, 162.30086817008424, -77.7199925938107, 1651708800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_06, 162.30086817008424, -77.7199925938107, 1651795200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_07, 162.30086817008424, -77.7199925938107, 1651881600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_08, 162.30086817008424, -77.7199925938107, 1651968000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_09, 162.30086817008424, -77.7199925938107, 1652054400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_10, 162.30086817008424, -77.7199925938107, 1652140800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_11, 162.30086817008424, -77.7199925938107, 1652227200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_12, 162.30086817008424, -77.7199925938107, 1652313600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_13, 162.30086817008424, -77.7199925938107, 1652400000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_14, 162.30086817008424, -77.7199925938107, 1652486400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_15, 162.30086817008424, -77.7199925938107, 1652572800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_16, 162.30086817008424, -77.7199925938107, 1652659200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_17, 162.30086817008424, -77.7199925938107, 1652745600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_18, 162.30086817008424, -77.7199925938107, 1652832000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_19, 162.30086817008424, -77.7199925938107, 1652918400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_20, 162.30086817008424, -77.7199925938107, 1653004800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_21, 162.30086817008424, -77.7199925938107, 1653091200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_22, 162.30086817008424, -77.7199925938107, 1653177600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_23, 162.30086817008424, -77.7199925938107, 1653264000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_24, 162.30086817008424, -77.7199925938107, 1653350400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_25, 162.30086817008424, -77.7199925938107, 1653436800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_26, 162.30086817008424, -77.7199925938107, 1653523200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_27, 162.30086817008424, -77.7199925938107, 1653609600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_28, 162.30086817008424, -77.7199925938107, 1653696000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_29, 162.30086817008424, -77.7199925938107, 1653782400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_30, 162.30086817008424, -77.7199925938107, 1653868800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_31, 162.30086817008424, -77.7199925938107, 1653955200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_01, 162.30086817008424, -77.7199925938107, 1654041600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_02, 162.30086817008424, -77.7199925938107, 1654128000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_03, 162.30086817008424, -77.7199925938107, 1654214400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_04, 162.30086817008424, -77.7199925938107, 1654300800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_05, 162.30086817008424, -77.7199925938107, 1654387200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_06, 162.30086817008424, -77.7199925938107, 1654473600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_07, 162.30086817008424, -77.7199925938107, 1654560000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_08, 162.30086817008424, -77.7199925938107, 1654646400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_09, 162.30086817008424, -77.7199925938107, 1654732800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_10, 162.30086817008424, -77.7199925938107, 1654819200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_11, 162.30086817008424, -77.7199925938107, 1654905600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_12, 162.30086817008424, -77.7199925938107, 1654992000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_13, 162.30086817008424, -77.7199925938107, 1655078400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_14, 162.30086817008424, -77.7199925938107, 1655164800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_15, 162.30086817008424, -77.7199925938107, 1655251200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_16, 162.30086817008424, -77.7199925938107, 1655337600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_17, 162.30086817008424, -77.7199925938107, 1655424000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_18, 162.30086817008424, -77.7199925938107, 1655510400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_19, 162.30086817008424, -77.7199925938107, 1655596800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_20, 162.30086817008424, -77.7199925938107, 1655683200000, null, null, null, null, null, null, null, null, null]"
