dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, orbit_pnt, granule_pnt, NDSI_Snow_Cover_Class, Snow_Albedo_Daily_Tile_Class]"
"[2000_02_24, 162.30086817008424, -77.7199925938107, 951350400000, 18, 2, 128, 2192, 0, 6, 9, 201, 101]"
"[2000_02_25, 162.30086817008424, -77.7199925938107, 951436800000, 46, 2, 128, 4472, 42, 5, 6, null, 125]"
"[2000_02_26, 162.30086817008424, -77.7199925938107, 951523200000, 37, 2, 128, 3814, 36, 6, 9, 201, 101]"
"[2000_02_27, 162.30086817008424, -77.7199925938107, 951609600000, 32, 2, 128, 3321, 42, 7, 9, null, 125]"
"[2000_02_28, 162.30086817008424, -77.7199925938107, 951696000000, 26, 2, 128, 3002, 40, 7, 9, null, 125]"
"[2000_02_29, 162.30086817008424, -77.7199925938107, 951782400000, 49, 2, 128, 4977, 37, 6, 7, 201, 101]"
"[2000_03_01, 162.30086817008424, -77.7199925938107, 951868800000, null, 2, 128, 1822, null, 6, 8, 250, 150]"
"[2000_03_02, 162.30086817008424, -77.7199925938107, 951955200000, 38, 2, 128, 3816, 38, 6, 8, null, null]"
"[2000_03_03, 162.30086817008424, -77.7199925938107, 952041600000, 48, 2, 128, 4972, 48, 7, 10, null, 125]"
"[2000_03_04, 162.30086817008424, -77.7199925938107, 952128000000, 26, 0, 0, 2580, 62, 6, 7, 201, 101]"
"[2000_03_05, 162.30086817008424, -77.7199925938107, 952214400000, 34, 2, 128, 3662, 47, 6, 8, null, 125]"
"[2000_03_06, 162.30086817008424, -77.7199925938107, 952300800000, 55, 0, 0, 5620, 34, 6, 9, 201, 101]"
"[2000_03_07, 162.30086817008424, -77.7199925938107, 952387200000, 32, 2, 128, 3034, 45, 6, 9, null, 125]"
"[2000_03_08, 162.30086817008424, -77.7199925938107, 952473600000, 38, 0, 0, 3916, 35, 7, 9, 201, 101]"
"[2000_03_09, 162.30086817008424, -77.7199925938107, 952560000000, 23, 2, 128, 1741, 58, 4, 6, null, 125]"
"[2000_03_10, 162.30086817008424, -77.7199925938107, 952646400000, 0, 2, 130, 3660, null, 7, 9, 201, 101]"
"[2000_03_11, 162.30086817008424, -77.7199925938107, 952732800000, 49, 2, 128, 4929, 58, 5, 8, 201, 101]"
"[2000_03_12, 162.30086817008424, -77.7199925938107, 952819200000, null, 2, 128, 2469, null, 5, 7, 250, 150]"
"[2000_03_13, 162.30086817008424, -77.7199925938107, 952905600000, 29, 2, 128, 2892, 51, 5, 7, null, null]"
"[2000_03_14, 162.30086817008424, -77.7199925938107, 952992000000, 53, 2, 128, 5282, 71, 4, 6, null, null]"
"[2000_03_15, 162.30086817008424, -77.7199925938107, 953078400000, 71, 2, 128, 7111, 15, 0, 0, 201, 101]"
"[2000_03_16, 162.30086817008424, -77.7199925938107, 953164800000, null, null, null, null, null, null, null, null, null]"
"[2000_03_17, 162.30086817008424, -77.7199925938107, 953251200000, 21, 2, 130, 3344, 27, 4, 5, 201, 125]"
"[2000_03_18, 162.30086817008424, -77.7199925938107, 953337600000, 19, 2, 128, 1910, 76, 5, 6, null, null]"
"[2000_03_19, 162.30086817008424, -77.7199925938107, 953424000000, 46, 2, 128, 4582, 99, 4, 6, null, null]"
"[2000_03_20, 162.30086817008424, -77.7199925938107, 953510400000, 48, 2, 128, 4859, 95, 5, 7, null, null]"
"[2000_03_21, 162.30086817008424, -77.7199925938107, 953596800000, 74, 2, 128, 7363, 50, 5, 7, null, null]"
"[2000_03_22, 162.30086817008424, -77.7199925938107, 953683200000, 25, 2, 128, 2578, 94, 6, 7, null, null]"
"[2000_03_23, 162.30086817008424, -77.7199925938107, 953769600000, 39, 2, 128, 3874, 100, 5, 7, null, null]"
"[2000_03_24, 162.30086817008424, -77.7199925938107, 953856000000, 61, 2, 128, 6174, 61, 4, 5, null, null]"
"[2000_03_25, 162.30086817008424, -77.7199925938107, 953942400000, 66, 2, 128, 6654, 83, 5, 7, null, null]"
"[2000_03_26, 162.30086817008424, -77.7199925938107, 954028800000, 69, 2, 128, 6940, 31, 6, 8, null, 251]"
"[2000_03_27, 162.30086817008424, -77.7199925938107, 954115200000, 71, 2, 128, 7100, 39, 5, 6, null, null]"
"[2000_03_28, 162.30086817008424, -77.7199925938107, 954201600000, 17, 0, 0, 1731, null, 5, 7, 201, 101]"
"[2000_03_29, 162.30086817008424, -77.7199925938107, 954288000000, 77, 2, 128, 7764, 28, 6, 8, null, 251]"
"[2000_03_30, 162.30086817008424, -77.7199925938107, 954374400000, null, 2, 128, 1334, null, 5, 6, 250, 150]"
"[2000_03_31, 162.30086817008424, -77.7199925938107, 954460800000, 81, 2, 130, 8398, null, 6, 9, 201, 101]"
"[2000_04_01, 162.30086817008424, -77.7199925938107, 954547200000, null, 211, 211, null, null, 4, 5, 211, 111]"
"[2000_04_02, 162.30086817008424, -77.7199925938107, 954633600000, null, 2, 128, 1252, null, 6, 7, 250, 150]"
"[2000_04_03, 162.30086817008424, -77.7199925938107, 954720000000, null, 211, 211, null, null, 4, 5, 211, 111]"
"[2000_04_04, 162.30086817008424, -77.7199925938107, 954806400000, null, 2, 128, 1232, null, 0, 0, 250, 150]"
"[2000_04_05, 162.30086817008424, -77.7199925938107, 954892800000, 15, 2, 144, 1554, null, 5, 7, 201, 251]"
"[2000_04_06, 162.30086817008424, -77.7199925938107, 954979200000, null, 211, 211, null, null, 4, 5, 211, 111]"
"[2000_04_07, 162.30086817008424, -77.7199925938107, 955065600000, 33, 2, 128, 3373, null, 0, 1, null, 251]"
"[2000_04_08, 162.30086817008424, -77.7199925938107, 955152000000, null, 211, 211, null, null, 4, 4, 211, 111]"
"[2000_04_09, 162.30086817008424, -77.7199925938107, 955238400000, null, 211, 211, null, null, 0, 0, 211, 111]"
"[2000_04_10, 162.30086817008424, -77.7199925938107, 955324800000, null, 211, 211, null, null, 4, 5, 211, 111]"
"[2000_04_11, 162.30086817008424, -77.7199925938107, 955411200000, null, 211, 211, null, null, 0, 1, 211, 111]"
"[2000_04_12, 162.30086817008424, -77.7199925938107, 955497600000, null, 211, 211, null, null, 3, 4, 211, 111]"
"[2000_04_13, 162.30086817008424, -77.7199925938107, 955584000000, null, null, null, null, null, null, null, null, null]"
"[2000_04_14, 162.30086817008424, -77.7199925938107, 955670400000, null, null, null, null, null, null, null, null, null]"
"[2000_04_15, 162.30086817008424, -77.7199925938107, 955756800000, null, null, null, null, null, null, null, null, null]"
"[2000_04_16, 162.30086817008424, -77.7199925938107, 955843200000, null, null, null, null, null, null, null, null, null]"
"[2000_04_17, 162.30086817008424, -77.7199925938107, 955929600000, null, null, null, null, null, null, null, null, null]"
