dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_04_04, 161.93255890359526, -77.38761593868648, 1649030400000, 0, 250, 2, 148, 196, null, 125, 0, 1]"
"[2022_04_05, 161.93255890359526, -77.38761593868648, 1649116800000, 69, null, 2, 128, 6933, 33, null, 5, 6]"
"[2022_04_06, 161.93255890359526, -77.38761593868648, 1649203200000, null, 211, 211, 211, null, null, 111, 3, 4]"
"[2022_04_07, 161.93255890359526, -77.38761593868648, 1649289600000, null, 211, 211, 211, null, null, 111, 4, 6]"
"[2022_04_08, 161.93255890359526, -77.38761593868648, 1649376000000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_04_09, 161.93255890359526, -77.38761593868648, 1649462400000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_04_10, 161.93255890359526, -77.38761593868648, 1649548800000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_04_11, 161.93255890359526, -77.38761593868648, 1649635200000, null, 211, 211, 211, null, null, 111, 0, 0]"
"[2022_04_12, 161.93255890359526, -77.38761593868648, 1649721600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_13, 161.93255890359526, -77.38761593868648, 1649808000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_14, 161.93255890359526, -77.38761593868648, 1649894400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_15, 161.93255890359526, -77.38761593868648, 1649980800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_16, 161.93255890359526, -77.38761593868648, 1650067200000, null, null, null, null, null, null, null, null, null]"
"[2022_04_17, 161.93255890359526, -77.38761593868648, 1650153600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_18, 161.93255890359526, -77.38761593868648, 1650240000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_19, 161.93255890359526, -77.38761593868648, 1650326400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_20, 161.93255890359526, -77.38761593868648, 1650412800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_21, 161.93255890359526, -77.38761593868648, 1650499200000, null, null, null, null, null, null, null, null, null]"
"[2022_04_22, 161.93255890359526, -77.38761593868648, 1650585600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_23, 161.93255890359526, -77.38761593868648, 1650672000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_24, 161.93255890359526, -77.38761593868648, 1650758400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_25, 161.93255890359526, -77.38761593868648, 1650844800000, null, null, null, null, null, null, null, null, null]"
"[2022_04_26, 161.93255890359526, -77.38761593868648, 1650931200000, null, null, null, null, null, null, null, null, null]"
"[2022_04_27, 161.93255890359526, -77.38761593868648, 1651017600000, null, null, null, null, null, null, null, null, null]"
"[2022_04_28, 161.93255890359526, -77.38761593868648, 1651104000000, null, null, null, null, null, null, null, null, null]"
"[2022_04_29, 161.93255890359526, -77.38761593868648, 1651190400000, null, null, null, null, null, null, null, null, null]"
"[2022_04_30, 161.93255890359526, -77.38761593868648, 1651276800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_01, 161.93255890359526, -77.38761593868648, 1651363200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_02, 161.93255890359526, -77.38761593868648, 1651449600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_03, 161.93255890359526, -77.38761593868648, 1651536000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_04, 161.93255890359526, -77.38761593868648, 1651622400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_05, 161.93255890359526, -77.38761593868648, 1651708800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_06, 161.93255890359526, -77.38761593868648, 1651795200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_07, 161.93255890359526, -77.38761593868648, 1651881600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_08, 161.93255890359526, -77.38761593868648, 1651968000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_09, 161.93255890359526, -77.38761593868648, 1652054400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_10, 161.93255890359526, -77.38761593868648, 1652140800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_11, 161.93255890359526, -77.38761593868648, 1652227200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_12, 161.93255890359526, -77.38761593868648, 1652313600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_13, 161.93255890359526, -77.38761593868648, 1652400000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_14, 161.93255890359526, -77.38761593868648, 1652486400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_15, 161.93255890359526, -77.38761593868648, 1652572800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_16, 161.93255890359526, -77.38761593868648, 1652659200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_17, 161.93255890359526, -77.38761593868648, 1652745600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_18, 161.93255890359526, -77.38761593868648, 1652832000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_19, 161.93255890359526, -77.38761593868648, 1652918400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_20, 161.93255890359526, -77.38761593868648, 1653004800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_21, 161.93255890359526, -77.38761593868648, 1653091200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_22, 161.93255890359526, -77.38761593868648, 1653177600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_23, 161.93255890359526, -77.38761593868648, 1653264000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_24, 161.93255890359526, -77.38761593868648, 1653350400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_25, 161.93255890359526, -77.38761593868648, 1653436800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_26, 161.93255890359526, -77.38761593868648, 1653523200000, null, null, null, null, null, null, null, null, null]"
"[2022_05_27, 161.93255890359526, -77.38761593868648, 1653609600000, null, null, null, null, null, null, null, null, null]"
"[2022_05_28, 161.93255890359526, -77.38761593868648, 1653696000000, null, null, null, null, null, null, null, null, null]"
"[2022_05_29, 161.93255890359526, -77.38761593868648, 1653782400000, null, null, null, null, null, null, null, null, null]"
"[2022_05_30, 161.93255890359526, -77.38761593868648, 1653868800000, null, null, null, null, null, null, null, null, null]"
"[2022_05_31, 161.93255890359526, -77.38761593868648, 1653955200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_01, 161.93255890359526, -77.38761593868648, 1654041600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_02, 161.93255890359526, -77.38761593868648, 1654128000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_03, 161.93255890359526, -77.38761593868648, 1654214400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_04, 161.93255890359526, -77.38761593868648, 1654300800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_05, 161.93255890359526, -77.38761593868648, 1654387200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_06, 161.93255890359526, -77.38761593868648, 1654473600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_07, 161.93255890359526, -77.38761593868648, 1654560000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_08, 161.93255890359526, -77.38761593868648, 1654646400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_09, 161.93255890359526, -77.38761593868648, 1654732800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_10, 161.93255890359526, -77.38761593868648, 1654819200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_11, 161.93255890359526, -77.38761593868648, 1654905600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_12, 161.93255890359526, -77.38761593868648, 1654992000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_13, 161.93255890359526, -77.38761593868648, 1655078400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_14, 161.93255890359526, -77.38761593868648, 1655164800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_15, 161.93255890359526, -77.38761593868648, 1655251200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_16, 161.93255890359526, -77.38761593868648, 1655337600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_17, 161.93255890359526, -77.38761593868648, 1655424000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_18, 161.93255890359526, -77.38761593868648, 1655510400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_19, 161.93255890359526, -77.38761593868648, 1655596800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_20, 161.93255890359526, -77.38761593868648, 1655683200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_21, 161.93255890359526, -77.38761593868648, 1655769600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_22, 161.93255890359526, -77.38761593868648, 1655856000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_23, 161.93255890359526, -77.38761593868648, 1655942400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_24, 161.93255890359526, -77.38761593868648, 1656028800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_25, 161.93255890359526, -77.38761593868648, 1656115200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_26, 161.93255890359526, -77.38761593868648, 1656201600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_27, 161.93255890359526, -77.38761593868648, 1656288000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_28, 161.93255890359526, -77.38761593868648, 1656374400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_29, 161.93255890359526, -77.38761593868648, 1656460800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_30, 161.93255890359526, -77.38761593868648, 1656547200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_01, 161.93255890359526, -77.38761593868648, 1656633600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_02, 161.93255890359526, -77.38761593868648, 1656720000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_03, 161.93255890359526, -77.38761593868648, 1656806400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_04, 161.93255890359526, -77.38761593868648, 1656892800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_05, 161.93255890359526, -77.38761593868648, 1656979200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_06, 161.93255890359526, -77.38761593868648, 1657065600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_07, 161.93255890359526, -77.38761593868648, 1657152000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_08, 161.93255890359526, -77.38761593868648, 1657238400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_09, 161.93255890359526, -77.38761593868648, 1657324800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_10, 161.93255890359526, -77.38761593868648, 1657411200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_11, 161.93255890359526, -77.38761593868648, 1657497600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_12, 161.93255890359526, -77.38761593868648, 1657584000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_13, 161.93255890359526, -77.38761593868648, 1657670400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_14, 161.93255890359526, -77.38761593868648, 1657756800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_15, 161.93255890359526, -77.38761593868648, 1657843200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_16, 161.93255890359526, -77.38761593868648, 1657929600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_17, 161.93255890359526, -77.38761593868648, 1658016000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_18, 161.93255890359526, -77.38761593868648, 1658102400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_19, 161.93255890359526, -77.38761593868648, 1658188800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_20, 161.93255890359526, -77.38761593868648, 1658275200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_21, 161.93255890359526, -77.38761593868648, 1658361600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_22, 161.93255890359526, -77.38761593868648, 1658448000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_23, 161.93255890359526, -77.38761593868648, 1658534400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_24, 161.93255890359526, -77.38761593868648, 1658620800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_25, 161.93255890359526, -77.38761593868648, 1658707200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_26, 161.93255890359526, -77.38761593868648, 1658793600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_27, 161.93255890359526, -77.38761593868648, 1658880000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_28, 161.93255890359526, -77.38761593868648, 1658966400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_29, 161.93255890359526, -77.38761593868648, 1659052800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_30, 161.93255890359526, -77.38761593868648, 1659139200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_31, 161.93255890359526, -77.38761593868648, 1659225600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_01, 161.93255890359526, -77.38761593868648, 1659312000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_02, 161.93255890359526, -77.38761593868648, 1659398400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_03, 161.93255890359526, -77.38761593868648, 1659484800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_04, 161.93255890359526, -77.38761593868648, 1659571200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_05, 161.93255890359526, -77.38761593868648, 1659657600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_06, 161.93255890359526, -77.38761593868648, 1659744000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_07, 161.93255890359526, -77.38761593868648, 1659830400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_08, 161.93255890359526, -77.38761593868648, 1659916800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_09, 161.93255890359526, -77.38761593868648, 1660003200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_10, 161.93255890359526, -77.38761593868648, 1660089600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_11, 161.93255890359526, -77.38761593868648, 1660176000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_12, 161.93255890359526, -77.38761593868648, 1660262400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_13, 161.93255890359526, -77.38761593868648, 1660348800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_14, 161.93255890359526, -77.38761593868648, 1660435200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_15, 161.93255890359526, -77.38761593868648, 1660521600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_16, 161.93255890359526, -77.38761593868648, 1660608000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_17, 161.93255890359526, -77.38761593868648, 1660694400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_18, 161.93255890359526, -77.38761593868648, 1660780800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_19, 161.93255890359526, -77.38761593868648, 1660867200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_20, 161.93255890359526, -77.38761593868648, 1660953600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_21, 161.93255890359526, -77.38761593868648, 1661040000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_22, 161.93255890359526, -77.38761593868648, 1661126400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_23, 161.93255890359526, -77.38761593868648, 1661212800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_24, 161.93255890359526, -77.38761593868648, 1661299200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_25, 161.93255890359526, -77.38761593868648, 1661385600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_26, 161.93255890359526, -77.38761593868648, 1661472000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_27, 161.93255890359526, -77.38761593868648, 1661558400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_28, 161.93255890359526, -77.38761593868648, 1661644800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_29, 161.93255890359526, -77.38761593868648, 1661731200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_30, 161.93255890359526, -77.38761593868648, 1661817600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_31, 161.93255890359526, -77.38761593868648, 1661904000000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_01, 161.93255890359526, -77.38761593868648, 1661990400000, null, 211, 211, 211, null, null, 111, 3, 4]"
"[2022_09_02, 161.93255890359526, -77.38761593868648, 1662076800000, null, 211, 211, 211, null, null, 111, 0, 0]"
"[2022_09_03, 161.93255890359526, -77.38761593868648, 1662163200000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_04, 161.93255890359526, -77.38761593868648, 1662249600000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_05, 161.93255890359526, -77.38761593868648, 1662336000000, 30, null, 2, 144, 3037, 91, null, 5, 6]"
"[2022_09_06, 161.93255890359526, -77.38761593868648, 1662422400000, null, 211, 211, 211, null, null, 111, 3, 4]"
